userid,bus_or_ped,busdestination,inside_or_outside,tripid,totalseats,totalpassengercount,totalfemalecount,emptyseats,location,timestamp,date,time,surveyid,gender,age,companions,educational_attainment,origin,destinations,trip_purpose,modesecurity,pointsecurity,importance_safety,mostsafe,leastsafe,rfid_opinion,mostsafe,leastsafe,selectelement
a.cadhe,Pedestrian,Mexipuerto,Dentro CETRAM,T5533069,N/A,N/A,N/A,N/A,19.53387 -99.02699,7/14/13 14:11,7/14/13,2:11:33 PM,F0294447,female,18-24,None,Licenciatura,Ecatepec de Morelos,Ecatepec de Morelos,Trabajo,1,1,5 (Muy importante),Metro,Peseros,No se,,,
a.cadhe,Pedestrian,Mexipuerto,Fuera CETRAM,T3856543,N/A,N/A,N/A,N/A,19.53296 -99.02694,7/12/13 14:19,7/12/13,2:19:11 PM,F3299047,female,18-24,1 to 2,Preparatoria,Ecatepec de Morelos,Ecatepec de Morelos,Trabajo,1,1,5 (Muy importante),Metro,Peseros,No se,,,
a.cadhe,Pedestrian,Mexipuerto,Dentro CETRAM,T2491790,N/A,N/A,N/A,N/A,19.53375 -99.02706,7/16/13 13:36,7/16/13,1:36:03 PM,F3729821,female,25-44,Mas,Secundaria,Ecatepec de Morelos,Ecatepec de Morelos,Recreacion,1,1,5 (Muy importante),Metro,Peseros,No se,,,
a.cadhe,Pedestrian,Mexipuerto,Dentro CETRAM,T1678929,N/A,N/A,N/A,N/A,19.53404 -99.02695,7/14/13 13:47,7/14/13,1:47:31 PM,M4312321,male,25-44,3 to 4,Preparatoria,Ecatepec de Morelos,Ecatepec de Morelos,Trabajo,1,1,5 (Muy importante),Metro,Peseros,No se,,,
a.cadhe,Pedestrian,Mexipuerto,Dentro CETRAM,T1678929,N/A,N/A,N/A,N/A,19.53392 -99.02696,7/14/13 13:49,7/14/13,1:49:25 PM,F8285744,female,25-44,1 to 2,Licenciatura,Ecatepec de Morelos,Ecatepec de Morelos,Otro,1,1,5 (Muy importante),Metro,Peseros,No se,,,
buzoherbert,Pedestrian,Mexipuerto,Dentro CETRAM,T6288778,N/A,N/A,N/A,N/A,19.53275 -99.02918,7/15/13 13:51,7/15/13,1:51:12 PM,M4912312,male,18-24,1 to 2,Preparatoria,Ecatepec de Morelos,Ecatepec de Morelos,Trabajo,1,5,5 (Muy importante),BRT,Peseros,5,,,
buzoherbert,Pedestrian,Mexipuerto,Dentro CETRAM,T6288778,N/A,N/A,N/A,N/A,19.53275 -99.02918,7/15/13 13:54,7/15/13,1:54:16 PM,M1798142,male,18-24,1 to 2,Preparatoria,Ecatepec de Morelos,Ecatepec de Morelos,Trabajo,1,2,5 (Muy importante),BRT,Peseros,No se,,,
buzoherbert,Pedestrian,Mexipuerto,Dentro CETRAM,T6288778,N/A,N/A,N/A,N/A,19.53275 -99.02918,7/15/13 13:52,7/15/13,1:52:42 PM,M8226794,male,0-17,None,Preparatoria,Ecatepec de Morelos,Ecatepec de Morelos,Trabajo,1,3,5 (Muy importante),BRT,Peseros,No se,,,
buzoherbert,Pedestrian,Mexipuerto,Dentro CETRAM,T1923841,N/A,N/A,N/A,N/A,19.53319 -99.02733,7/15/13 13:35,7/15/13,1:35:04 PM,M4505011,male,45-64,None,Primaria,Ecatepec de Morelos,Ecatepec de Morelos,Trabajo,1,5,5 (Muy importante),BRT,Peseros,No se,,,
buzoherbert,Pedestrian,Mexipuerto,Dentro CETRAM,T6288778,N/A,N/A,N/A,N/A,19.53275 -99.02918,7/15/13 14:02,7/15/13,2:02:43 PM,F5890177,female,45-64,1 to 2,Secundaria,Ecatepec de Morelos,Nezahualcoyotl,Recreacion,1,3,5 (Muy importante),Metro,Peseros,No se,,,
clara,Pedestrian,Texcoco,Fuera CETRAM,T9549401,N/A,N/A,N/A,N/A,19.50637 -99.20043,15/07/2013 14:03:36,7/15/13,2:03:36 PM,F0086174,female,0-17,1 to 2,Preparatoria,Azcapotzalco,Azcapotzalco,Estudio,1,4,5 (Muy importante),Metro,Peseros,No se,,,
clara,Pedestrian,Texcoco,Fuera CETRAM,T9549401,N/A,N/A,N/A,N/A,19.50513 -99.20113,15/07/2013 14:21:58,7/15/13,2:21:58 PM,M9268777,male,45-64,1 to 2,Secundaria,Azcapotzalco,Azcapotzalco,Recreacion,1,1,5 (Muy importante),BRT,Metro,No se,,,
clara,Pedestrian,El Rosario,Fuera CETRAM,T0678069,N/A,N/A,N/A,N/A,19.50488 -99.20086,7/16/13 15:40,7/16/13,3:40:55 PM,F0567470,female,45-64,None,Maestria y Doctorado,Azcapotzalco,Miguel Hidalgo,Trabajo,1,1,5 (Muy importante),Metro,Peseros,No se,,,
clara,Pedestrian,Texcoco,Fuera CETRAM,T9549401,N/A,N/A,N/A,N/A,19.50982 -99.19988,15/07/2013 14:01:42,7/15/13,2:01:42 PM,M6545853,male,0-17,1 to 2,Primaria,Tlalnepantla de Baz,Azcapotzalco,Trabajo,1,2,3,Taxi,Peseros,No se,,,
clara,Pedestrian,Texcoco,Fuera CETRAM,T9549401,N/A,N/A,N/A,N/A,19.50643 -99.20035,15/07/2013 13:59:44,7/15/13,1:59:44 PM,F5726200,female,0-17,1 to 2,Secundaria,Tlalnepantla de Baz,Azcapotzalco,Trabajo,1,2,5 (Muy importante),Taxi,Peseros,No se,,,
gabrielghv1,Pedestrian,El Rosario,Dentro CETRAM,T6816270,N/A,N/A,N/A,N/A,19.50469 -99.20079,7/12/13 14:07,7/12/13,2:07:06 PM,F8866704,female,18-24,1 to 2,Preparatoria,Atizapan de Zaragoza,Azcapotzalco,Trabajo,1,4,5 (Muy importante),Peseros,Taxi,No se,,,
gabrielghv1,Pedestrian,El Rosario,Dentro CETRAM,T6816270,N/A,N/A,N/A,N/A,19.50466 -99.20079,7/12/13 14:11,7/12/13,2:11:52 PM,M9490522,male,25-44,None,Preparatoria,Atizapan de Zaragoza,Azcapotzalco,Trabajo,1,5,5 (Muy importante),Metro,Peseros,No se,,,
gabrielghv1,Pedestrian,El Rosario,Fuera CETRAM,T5322081,N/A,N/A,N/A,N/A,19.50328 -99.20444,14/07/2013 18:10:42,7/14/13,6:10:42 PM,M4381516,male,0-17,3 to 4,Secundaria,Atizapan de Zaragoza,Azcapotzalco,Recreacion,1,3,3,Taxi,Metro,No se,,,
gabrielghv1,Pedestrian,El Rosario,Fuera CETRAM,T3776709,N/A,N/A,N/A,N/A,19.50327 -99.20443,7/11/13 16:36,7/11/13,4:36:27 PM,M2444359,male,25-44,None,Preparatoria,Azcapotzalco,Azcapotzalco,Trabajo,1,3,5 (Muy importante),Taxi,Metro,No se,,,
gabrielghv1,Pedestrian,Texcoco,Fuera CETRAM,T5322081,N/A,N/A,N/A,N/A,19.50982 -99.19988,14/07/2013 17:51:18,7/14/13,5:51:18 PM,F4417585,female,25-44,3 to 4,Secundaria,Azcapotzalco,Azcapotzalco,Compra,1,5,5 (Muy importante),Trolebus,Peseros,No se,,,
gabrielghv1,Pedestrian,Texcoco,Fuera CETRAM,T5322081,N/A,N/A,N/A,N/A,19.50655 -99.20216,14/07/2013 17:50:38,7/14/13,5:50:38 PM,F5477420,female,0-17,3 to 4,Secundaria,Azcapotzalco,Azcapotzalco,Compra,1,5,5 (Muy importante),Trolebus,Peseros,No se,,,
gabrielghv1,Pedestrian,Texcoco,Fuera CETRAM,T5322081,N/A,N/A,N/A,N/A,19.50489 -99.20069,14/07/2013 17:49:56,7/14/13,5:49:56 PM,F7030984,female,25-44,3 to 4,Primaria,Azcapotzalco,Azcapotzalco,Compra,1,5,5 (Muy importante),Trolebus,Peseros,No se,,,
gabrielghv1,Pedestrian,Texcoco,Fuera CETRAM,T5322081,N/A,N/A,N/A,N/A,19.50489 -99.20067,14/07/2013 17:48:52,7/14/13,5:48:52 PM,F9096497,female,45-64,3 to 4,Primaria,Azcapotzalco,Azcapotzalco,Compra,1,5,5 (Muy importante),Trolebus,Peseros,No se,,,
gabrielghv1,Pedestrian,El Rosario,Dentro CETRAM,T6816270,N/A,N/A,N/A,N/A,19.50485 -99.20058,7/12/13 15:16,7/12/13,3:16:07 PM,F4680511,female,45-64,None,Secundaria,Azcapotzalco,Gustavo A. Madero,Recreacion,1,2,5 (Muy importante),Metro,,,,,
gabrielghv1,Pedestrian,El Rosario,Dentro CETRAM,T6816270,N/A,N/A,N/A,N/A,19.50469 -99.20077,7/12/13 14:09,7/12/13,2:09:48 PM,M5407934,male,45-64,None,Licenciatura,Coacalco de Berriozal,Miguel Hidalgo,Trabajo,1,5,5 (Muy importante),Metro,Peseros,No se,,,
gabrielghv1,Pedestrian,Texcoco,Fuera CETRAM,T5322081,N/A,N/A,N/A,N/A,19.50964 -99.19894,14/07/2013 16:49:24,7/14/13,4:49:24 PM,M3791748,male,25-44,None,Secundaria,Cuauhtemoc,Nicolas Romero,Trabajo,1,5,5 (Muy importante),Metro,Peseros,No se,,,
gabrielghv1,Pedestrian,El Rosario,Dentro CETRAM,T2324722,N/A,N/A,N/A,N/A,19.50654 -99.1983,16/07/2013 19:07:04,7/16/13,7:07:04 PM,M2383312,male,0-17,None,Preparatoria,Ecatepec de Morelos,Azcapotzalco,Trabajo,1,3,5 (Muy importante),Metro,Peseros,No se,,,
gabrielghv1,Pedestrian,Texcoco,Fuera CETRAM,T5322081,N/A,N/A,N/A,N/A,19.50659 -99.20042,14/07/2013 16:56:57,7/14/13,4:56:57 PM,M4810173,male,45-64,None,Secundaria,Ecatepec de Morelos,Tlalnepantla de Baz,Trabajo,1,5,5 (Muy importante),Metro,Peseros,No se,,,
gabrielghv1,Pedestrian,Texcoco,Fuera CETRAM,T5322081,N/A,N/A,N/A,N/A,19.50456 -99.20078,14/07/2013 18:37:29,7/14/13,6:37:29 PM,F0777776,female,25-44,None,Preparatoria,Naucalpan de Juarez,Azcapotzalco,Trabajo,1,5,4,Metro,Peseros,No se,,,
gabrielghv1,Pedestrian,El Rosario,Dentro CETRAM,T6816270,N/A,N/A,N/A,N/A,19.50485 -99.20058,7/12/13 15:39,7/12/13,3:39:39 PM,M3856494,male,18-24,1 to 2,Secundaria,Nezahualcoyotl,Azcapotzalco,Trabajo,1,1,5 (Muy importante),Metro,Peseros,No se,,,
gabrielghv1,Pedestrian,El Rosario,Dentro CETRAM,T4252012,N/A,N/A,N/A,N/A,19.50449 -99.20144,7/11/13 18:31,7/11/13,6:31:03 PM,M8226961,male,45-64,None,Licenciatura,Tlalnepantla de Baz,Cuauhtemoc,Trabajo,1,5,5 (Muy importante),Metro,Peseros,No se,,,
homer.324.er,Pedestrian,El Rosario,Fuera CETRAM,T6264763,N/A,N/A,N/A,N/A,19.50964 -99.19894,15/07/2013 17:55:58,7/15/13,5:55:58 PM,F1021663,female,45-64,None,Secundaria,Azcapotzalco,Azcapotzalco,Compra,1,3,5 (Muy importante),Metro,Peseros,No se,,,
homer.324.er,Pedestrian,El Rosario,Fuera CETRAM,T6264763,N/A,N/A,N/A,N/A,19.50348 -99.20433,15/07/2013 18:30:22,7/15/13,6:30:22 PM,F6623315,female,45-64,3 to 4,Licenciatura,Azcapotzalco,Cuautitlan,Recreacion,1,4,5 (Muy importante),Trolebus,Peseros,No se,,,
